TrainID,Train Name,Source Station,Destination Station,Total Seats,Available Seats,Total fare
T001,Shatabdi Express,New Delhi,Chandigarh,800,790,7600
T002,Duronto Express,Mumbai Central,Howrah,900,885,13500
T003,Rajdhani Express,Bangalore City,New Delhi,1000,980,19000
T004,Garib Rath,Patna,Delhi,750,745,950
T005,Vande Bharat,Chhatrapati Shivaji Terminus,Madgaon,600,595,4750
T006,Coromandel Express,Chennai Central,Howrah,950,940,9500
T007,Mangala Lakshadweep Express,Ernakulam,Delhi Hazrat Nizamuddin,700,690,9500
T008,Purushottam Express,Puri,New Delhi,800,795,4750
T009,Vikramshila Express,Bhagalpur,Anand Vihar Terminal,850,845,950
T010,Madurai Express,Madurai,Chennai Egmore,900,895,4750
T011,Goa Express,Goa,Nizamuddin,750,745,9500
T012,Punjab Mail,Ferozepur,Mumbai,800,790,9500
T013,Mumbai Mail,New Delhi,Mumbai,850,840,9500
T014,Jan Shatabdi,Patna,Kolkata,900,890,9500
T015,Sampark Kranti,Chennai,Delhi,1000,990,19000
